ts_code,trade_date,close,open,high,low,volume
000001.SH,19980105,1220.473,1200.948,1220.495,1200.222,4371532
000001.SH,19980106,1233.62,1223.73,1233.635,1215.409,5148664
000001.SH,19980107,1244.07,1233.956,1244.098,1231.146,5756557
000001.SH,19980108,1237.164,1243.121,1250.005,1235.885,4069472
000001.SH,19980109,1239.901,1233.701,1244.999,1221.297,5357096
000001.SH,19980112,1226.966,1242.21,1246.651,1226.397,5739689
000001.SH,19980113,1167.647,1211.883,1211.883,1110.087,7194435
000001.SH,19980114,1202.215,1170.346,1203.247,1170.322,5703800
000001.SH,19980115,1215.431,1210.421,1217.864,1196.148,5539255
000001.SH,19980116,1213.962,1215.82,1220.974,1207.919,4120326
000001.SH,19980119,1213.129,1215.408,1216.987,1205.479,3262038
000001.SH,19980120,1203.715,1211.276,1215.57,1195.382,3129378
000001.SH,19980121,1200.203,1201.988,1209.689,1198.228,3032972
000001.SH,19980122,1204.43,1200.521,1207.451,1194.383,4361254
000001.SH,19980123,1222.913,1206.495,1224.122,1206.454,3580684
000001.SH,19980209,1248.04,1257.995,1262.623,1244.426,4358584
000001.SH,19980210,1236.513,1248.596,1248.596,1233.698,5324563
000001.SH,19980211,1250.238,1234.181,1251.453,1233.53,4815520
000001.SH,19980212,1246.295,1253.385,1254.411,1241.996,4749077
000001.SH,19980213,1245.911,1246.733,1251.912,1241.824,4097735
000001.SH,19980216,1236.236,1246.796,1247.965,1230.918,4615358
000001.SH,19980217,1238.5,1234.837,1240.579,1228.111,3525859
000001.SH,19980218,1229.831,1239.633,1240.178,1225.497,4614067
000001.SH,19980219,1232.584,1229.809,1235.493,1223.932,3300714
000001.SH,19980220,1226.02,1234.601,1237.915,1224.584,3159234
000001.SH,19980223,1208.603,1217.859,1217.859,1195.888,3807533
000001.SH,19980224,1208.218,1206.925,1216.353,1206.09,3526684
000001.SH,19980225,1194.673,1208.524,1209.491,1191.751,3428467
000001.SH,19980226,1206.674,1193.003,1206.674,1189.519,3147775
000001.SH,19980227,1206.53,1209.442,1213.729,1202.865,3582150
000001.SH,19980302,1188.306,1196.742,1205.746,1182.612,4843155
000001.SH,19980303,1201.789,1186.52,1201.8,1185.303,3561297
000001.SH,19980304,1213.253,1204.945,1214.003,1201.254,3595148
000001.SH,19980305,1207.541,1217.851,1219.284,1206.372,3223419
000001.SH,19980306,1206.452,1208.749,1208.978,1202.124,3085020
000001.SH,19980309,1200.834,1207.959,1208.616,1197.569,3091094
000001.SH,19980310,1199.832,1199.625,1205.832,1186.551,2980644
