trade_date,open,close,high,low,volume,ts_code
2010/4/26,88.702,87.381,89.072,87.362,107036.13,600519
2010/4/27,87.355,84.841,87.355,84.681,58234.48,600519
2010/4/28,84.235,84.318,85.128,83.597,26287.43,600519
2010/4/29,84.592,85.671,86.315,84.592,34501.2,600519
2010/4/30,83.871,82.34,83.871,81.523,85566.7,600519
2010/5/4,81.676,82.091,82.678,80.974,23975.16,600519
2010/5/5,81.555,83.463,83.75,81.236,33838.78,600519
2010/5/6,83.597,81.267,83.597,81.236,28240.34,600519
2010/5/7,80.406,82.965,83.195,80.087,31254.76,600519
2010/5/10,84.235,85.218,86.787,84.235,66192.58,600519
2010/5/11,86.526,85.294,86.787,84.764,33632.41,600519
2010/5/12,85.058,84.988,85.511,82.958,21643.19,600519
2010/5/13,85.02,86.066,86.596,85.02,27049.54,600519
2010/5/14,86.073,86.117,86.858,85.511,18126.16,600519
2010/5/17,85.958,82.831,85.958,82.703,17643.59,600519
2010/5/18,82.958,83.029,83.577,80.521,26037.47,600519
2010/5/19,83.278,82.85,83.724,81.695,10798.97,600519
2010/5/20,82.608,83.903,85.084,82.327,22740.45,600519
2010/5/21,82.576,85.645,85.894,81.982,27341.38,600519
2010/5/24,86.143,86.768,87.106,85.703,29783.47,600519
2010/5/25,86.532,83.756,86.532,83.437,22050.77,600519
2010/5/26,83.916,84.196,84.656,83.061,11025.31,600519
2010/5/31,85.192,84.158,86.29,84.158,23549.88,600519
2010/6/1,84.075,84.637,85.166,83.278,23525.57,600519
2010/6/2,84.592,85.613,85.766,84.011,21889.44,600519
2010/6/3,86.143,86.168,87.106,85.128,24949.42,600519
2010/6/4,86.105,88.14,88.319,85.645,30036.43,600519
2010/6/7,87.425,90.016,90.789,86.787,38125.07,600519
2010/6/8,90.016,89.416,90.54,88.702,14394.78,600519
2010/6/9,89.48,90.246,90.999,89.391,18053.93,600519
2010/6/10,90.233,90.201,90.999,89.678,11781.27,600519
2010/6/11,90.342,88.517,90.935,88.421,19572.75,600519
2010/6/17,88.829,87.094,89.014,86.985,12523.71,600519
2010/6/18,86.794,84.401,87.298,83.603,20102.29,600519
2010/6/21,84.49,85.792,85.83,83.724,18954.01,600519
2010/6/22,85.039,84.356,85.473,83.852,20779.1,600519
2010/6/23,84.235,84.043,84.796,83.865,12812.76,600519
2010/6/24,84.177,82.939,84.535,82.754,24344.03,600519
2010/6/25,82.831,83.29,83.597,82.212,19011.35,600519
2010/6/28,83.086,81.689,83.099,81.561,14816.98,600519
2010/6/29,82.008,80.578,82.569,80.093,27782.66,600519
2010/6/30,80.406,81.274,81.363,80.183,17824.12,600519
2010/7/1,81.586,81.057,81.586,80.725,7449.69,600519
2010/7/2,80.757,81.478,82.384,80.757,16452.7,600519
2010/7/5,81.483,81.038,81.676,80.233,14040.74,600519
2010/7/6,81.096,82.191,82.552,80.517,15306.43,600519
2010/7/7,82.191,82.011,82.771,81.483,8788.28,600519
2010/7/8,81.876,82.655,82.771,81.876,8516.41,600519
2010/7/9,82.823,84.42,85.154,82.262,27378.51,600519
2010/7/12,84.253,84.195,85.863,84.092,17834,600519
2010/7/13,84.214,83.447,84.214,82.777,7439.11,600519
2010/7/14,83.351,83.892,84.484,83.112,9642.66,600519
2010/7/15,84.059,84.916,85.798,83.963,18833.33,600519
2010/7/16,84.317,86.191,86.533,84.111,32949.51,600519
2010/7/19,85.702,87.473,87.731,85.612,19412.32,600519
2010/7/20,87.589,87.931,88.433,86.752,26886.19,600519
2010/7/21,87.931,88.813,90.436,87.931,24363.02,600519
2010/7/22,89.406,88.865,89.406,88.117,16221.66,600519
2010/7/23,89.006,90.636,90.836,89.006,38466,600519
2010/7/26,90.636,90.797,91.969,90.34,22016.91,600519
2010/7/27,90.243,91.467,91.583,90.243,25229.04,600519
2010/7/28,91.853,92.072,92.13,91.145,27740.35,600519
2010/7/29,92.066,89.805,92.175,89.638,45372.87,600519
2010/7/30,89.715,89.322,89.715,88.568,29438.77,600519
2010/8/2,89.296,92.465,93.567,89.296,42965.73,600519
2010/8/3,92.111,91.634,93.27,91.473,17573.23,600519
2010/8/4,91.467,92.768,92.884,91.286,17350.13,600519
2010/8/5,92.807,95.435,96.201,92.807,41966.13,600519
2010/8/6,95.203,95.46,95.847,94.816,21840.53,600519
2010/8/9,95.493,97.657,98.05,95.493,38703,600519
2010/8/10,97.657,94.533,98.932,94.365,28739.94,600519
2010/8/11,94.043,95.235,95.976,94.043,15190.63,600519
2010/8/12,95.203,95.924,97.844,94.179,31025.87,600519
2010/8/13,95.898,96.871,97.56,95.538,15775.59,600519
2010/8/16,96.884,98.488,98.739,96.884,25910.45,600519
2010/8/17,98.423,99.899,100.646,98.23,35747.57,600519
2010/8/18,99.828,98.449,100.755,98.101,30173.78,600519
2010/8/19,98.475,97.432,99.132,96.942,35437.14,600519
2010/8/20,97.386,95.905,97.386,95.641,20841.59,600519
2010/8/23,95.493,97.084,97.2,95.332,13214.93,600519
2010/8/24,96.826,97.535,98.546,96.04,10838.25,600519
2010/8/25,96.942,96.485,97.857,96.382,16507.88,600519
2010/8/26,96.555,96.858,96.974,95.654,12232,600519
2010/8/27,96.62,97.303,97.412,96.105,8799,600519
2010/8/30,97.702,102.945,103.061,97.702,53784,600519
2010/8/31,102.114,102.565,103.699,101.696,31399,600519
2010/9/1,102.288,101.052,103.834,100.42,25589,600519
2010/9/2,101.773,103.055,104.401,101.689,24821,600519
2010/9/3,102.932,104.749,106.527,102.932,27761,600519
2010/9/6,105.638,107.39,108.601,105.638,29008,600519
2010/9/7,107.602,106.456,108.923,106.153,22373,600519
2010/9/8,106.282,107.235,107.892,106.282,15010,600519
2010/9/9,107.57,107.499,108.923,106.926,21503,600519
2010/9/10,107.892,109.174,109.438,107.248,19867,600519
2010/9/13,108.858,108.717,111.725,108.182,28063,600519
2010/9/14,108.697,107.757,109.644,106.668,26383,600519
2010/9/15,107.57,104.639,107.757,104.156,21032,600519
2010/9/16,104.414,102.636,105.67,101.058,20497,600519
2010/9/17,102.559,104.227,105.921,101.457,17975,600519
2010/9/20,104.903,106.056,106.926,104.349,12576,600519
2010/9/21,107.248,106.978,107.493,105.644,14940,600519
2010/9/27,106.99,108.749,108.858,106.475,18548,600519
2010/9/28,108.594,110.005,110.269,108.214,22585,600519
2010/9/29,109.76,107.673,110.501,107.577,13272,600519
2010/9/30,107.287,108.685,108.987,106.926,14578,600519
2010/10/8,108.858,111.776,113.045,108.858,31608,600519
2010/10/11,112.079,108.085,113.644,106.926,43742,600519
2010/10/12,108.092,107.312,109.49,105.825,28543,600519
2010/10/13,106.926,103.705,107.267,102.965,60287,600519
2010/10/14,103.718,102.056,103.899,101.006,53243,600519
2010/10/15,102.108,103.048,104.994,101.973,72099,600519
2010/10/18,103.061,104.62,106.385,99.712,96564,600519
2010/10/19,103.976,105.168,106.217,103.061,53448,600519
2010/10/20,103.126,107.834,108.794,103.119,47372,600519
2010/10/21,107.957,107.873,109.535,106.797,37621,600519
2010/10/22,107.879,108.285,110.533,107.351,41046,600519
2010/10/25,108.858,111.435,111.95,108.298,36195,600519
2010/10/26,111.306,108.865,111.358,108.221,28590,600519
2010/10/27,108.697,108.311,109.116,107.248,28912,600519
2010/10/28,108.15,107.596,108.408,107.396,19440,600519
2010/10/29,106.114,105.09,106.327,103.383,65465,600519
2010/11/1,105.122,105.483,106.217,104.478,49658,600519
2010/11/2,105.973,104.781,105.973,104.085,62292,600519
2010/11/3,104.994,105.219,106.701,104.027,42253,600519
2010/11/4,105.606,106.314,106.63,104.852,44629,600519
2010/11/5,106.475,105.625,106.926,105.187,34654,600519
2010/11/8,105.631,105.309,105.638,103.866,56894,600519
2010/11/9,105.38,106.836,107.306,104.813,60737,600519
2010/11/10,107.312,115.77,117.522,107.248,150005,600519
2010/11/11,117.226,113.316,117.226,112.15,74217,600519
2010/11/12,113.077,114.353,121.148,113.058,126500,600519
