trade_date,open,high,low,close,volume
2010/6/29,19,25,17.540001,23.889999,18766300
2010/6/30,25.790001,30.42,23.299999,23.83,17187100
2010/7/1,25,25.92,20.27,21.959999,8218800
2010/7/2,23,23.1,18.709999,19.200001,5139800
2010/7/6,20,20,15.83,16.110001,6866900
2010/7/7,16.4,16.629999,14.98,15.8,6921700
2010/7/8,16.139999,17.52,15.57,17.459999,7711400
2010/7/9,17.58,17.9,16.549999,17.4,4050600
2010/7/12,17.950001,18.07,17,17.049999,2202500
2010/7/13,17.389999,18.639999,16.9,18.139999,2680100
2010/7/14,17.940001,20.15,17.76,19.84,4195200
2010/7/15,19.940001,21.5,19,19.889999,3739800
2010/7/16,20.700001,21.299999,20.049999,20.639999,2621300
2010/7/19,21.370001,22.25,20.92,21.91,2486500
2010/7/20,21.85,21.85,20.049999,20.299999,1825300
2010/7/21,20.66,20.9,19.5,20.219999,1252500
2010/7/22,20.5,21.25,20.370001,21,957800
2010/7/23,21.190001,21.559999,21.059999,21.290001,653600
2010/7/26,21.5,21.5,20.299999,20.950001,922200
2010/7/27,20.91,21.18,20.26,20.549999,619700
2010/7/28,20.549999,20.9,20.51,20.719999,467200
2010/7/29,20.77,20.879999,20,20.35,616000
2010/7/30,20.200001,20.440001,19.549999,19.940001,426900
2010/8/2,20.5,20.969999,20.33,20.92,718100
2010/8/3,21,21.950001,20.82,21.950001,1230500
2010/8/4,21.950001,22.18,20.85,21.26,913000
2010/8/5,21.540001,21.549999,20.049999,20.450001,796200
2010/8/6,20.1,20.16,19.52,19.59,741900
2010/8/9,19.9,19.98,19.450001,19.6,812700
2010/8/10,19.65,19.65,18.82,19.030001,1281300
2010/8/11,18.690001,18.879999,17.85,17.9,797600
2010/8/12,17.799999,17.9,17.389999,17.6,691000
2010/8/13,18.18,18.450001,17.66,18.32,634000
2010/8/16,18.450001,18.799999,18.26,18.780001,485800
2010/8/17,18.959999,19.4,18.780001,19.15,447900
2010/8/18,19.59,19.59,18.6,18.77,601300
2010/8/19,18.540001,19.25,18.33,18.790001,579100
2010/8/20,18.65,19.110001,18.51,19.1,296000
2010/8/23,19.09,20.389999,19,20.129999,1088100
2010/8/24,19.25,19.709999,18.950001,19.200001,673100
2010/8/25,19.16,19.98,18.559999,19.9,503300
2010/8/26,19.889999,20.27,19.6,19.75,433800
2010/8/27,19.75,19.870001,19.5,19.700001,379600
2010/8/30,19.700001,20.190001,19.610001,19.870001,732800
2010/8/31,19.66,19.790001,19.33,19.48,201100
2010/9/1,19.620001,20.690001,19.6,20.450001,494900
2010/9/2,20.370001,21.24,20.309999,21.059999,487100
2010/9/3,20.870001,21.299999,20.66,21.049999,434600
2010/9/7,20.610001,21,20.5,20.540001,243400
2010/9/8,20.66,20.950001,20.6,20.9,288400
2010/9/9,21,21.049999,20.690001,20.709999,376200
2010/9/10,20.75,20.93,19.76,20.17,386600
