filename,optimizer,scheduler,learned_percent,learning_rate,times,average_train_loss,mean_absolute_error
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,1,4.02221,150.76578
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,2,1.34541,235.17181
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,3,0.056844,43.6136
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,4,0.034204,62.45907
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,5,0.021803,63.84701
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,6,0.017434,33.01337
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,7,0.014772,36.47161
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,8,0.01353,34.68881
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,9,0.012729,35.17475
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,10,0.012366,34.48363
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,11,0.012036,32.97655
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,12,0.011949,34.93684
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,13,0.011919,38.49658
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,14,0.011843,34.08983
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,15,0.01174,33.55562
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,16,0.011652,34.22906
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,17,0.011647,33.98853
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,18,0.011611,33.50674
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,19,0.011602,33.262
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,20,0.011576,34.21654
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,21,0.011569,33.42601
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,22,0.011552,33.60333
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,23,0.011558,33.64765
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,24,0.011557,33.75914
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,25,0.011551,33.5584
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,26,0.011552,33.59107
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,27,0.011547,33.54046
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,28,0.011544,33.48497
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,29,0.011543,33.48494
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,30,0.011542,33.48593
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,31,0.011541,33.48645
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,32,0.011541,33.48793
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,33,0.011541,33.49062
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,34,0.011541,33.49051
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,35,0.011541,33.49091
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,36,0.011541,33.49095
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,37,0.011541,33.49101
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,38,0.011541,33.49097
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,39,0.011541,33.49095
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,40,0.011541,33.49096
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,41,0.011541,33.49096
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,42,0.011541,33.49096
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,43,0.011541,33.49095
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,44,0.011541,33.49095
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,45,0.011541,33.49096
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,46,0.011541,33.49097
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,47,0.011541,33.49097
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,48,0.011541,33.49097
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,49,0.011541,33.49098
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,50,0.011541,33.49099
