filename,optimizer,scheduler,learned_percent,learning_rate,times,average_train_loss,mean_absolute_error
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,1,0.03183,410.08383
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,2,0.02692,374.49923
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,3,0.022318,346.69228
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,4,0.017953,235.42204
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,5,0.014401,210.20023
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,6,0.011858,190.69898
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,7,0.010106,179.22926
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,8,0.008947,168.52274
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,9,0.008173,167.45087
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,10,0.007649,151.75465
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,11,0.00729,151.81564
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,12,0.007046,149.81274
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,13,0.006879,147.60869
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,14,0.006763,148.14379
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,15,0.006683,146.28361
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,16,0.006625,146.27598
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,17,0.006583,145.79117
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,18,0.006556,145.02509
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,19,0.006537,144.9532
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,20,0.006523,144.94269
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,21,0.006514,144.86484
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,22,0.006507,144.86669
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,23,0.006502,144.88329
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,24,0.006498,144.85061
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,25,0.006496,144.80695
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,26,0.006496,144.8496
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,27,0.006493,144.81829
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,28,0.006492,144.81861
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,29,0.006492,144.82263
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,30,0.006491,144.819
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,31,0.006491,144.8168
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,32,0.00649,144.81896
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,33,0.006491,144.81897
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,34,0.006493,144.81844
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,35,0.006491,144.81945
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,36,0.006492,144.81957
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,37,0.006493,144.81988
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,38,0.006491,144.81978
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,39,0.006492,144.81969
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,40,0.006491,144.81978
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,41,0.006491,144.81982
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,42,0.006492,144.81982
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,43,0.006493,144.81982
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,44,0.006491,144.81982
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,45,0.006494,144.81982
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,46,0.006491,144.81982
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,47,0.00649,144.81982
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,48,0.00649,144.81982
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,49,0.006493,144.81982
dataset/Stock_1.csv,Adam,StepLR:1,0.99,0.001,50,0.006492,144.81982
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,1,0.071341,785.57093
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,2,0.066609,805.87824
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,3,0.064277,759.83211
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,4,0.061365,749.19219
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,5,0.060341,747.03129
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,6,0.05909,734.48255
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,7,0.057458,728.91733
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,8,0.057085,727.3054
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,9,0.056575,722.39843
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,10,0.055993,722.92817
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,11,0.056204,720.6228
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,12,0.055709,719.19681
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,13,0.055629,718.4262
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,14,0.055598,718.4902
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,15,0.055379,718.07512
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,16,0.055175,717.93795
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,17,0.055268,717.94129
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,18,0.05543,717.87453
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,19,0.055772,717.82583
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,20,0.055328,717.81198
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,21,0.055521,717.77646
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,22,0.055546,717.73885
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,23,0.055718,717.75874
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,24,0.055459,717.73626
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,25,0.055469,717.72258
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,26,0.055722,717.72116
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,27,0.05542,717.71802
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,28,0.055365,717.71531
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,29,0.05542,717.71098
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,30,0.055509,717.7114
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,31,0.055524,717.71067
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,32,0.055674,717.70964
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,33,0.055527,717.70881
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,34,0.055472,717.70879
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,35,0.055797,717.7087
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,36,0.055763,717.70862
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,37,0.055562,717.70852
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,38,0.055438,717.7085
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,39,0.055571,717.7085
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,40,0.055163,717.70849
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,41,0.055472,717.70849
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,42,0.055517,717.70849
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,43,0.055443,717.70849
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,44,0.055444,717.70849
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,45,0.055684,717.70849
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,46,0.055783,717.70849
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,47,0.055551,717.70849
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,48,0.055491,717.70849
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,49,0.055307,717.70849
dataset/Stock_2.csv,Adam,StepLR:1,0.99,0.001,50,0.055331,717.70849
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,1,0.023822,332.35666
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,2,0.021955,333.39201
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,3,0.021181,335.00649
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,4,0.020428,314.83299
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,5,0.019843,310.20202
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,6,0.019381,311.77352
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,7,0.019015,308.88657
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,8,0.018965,309.43158
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,9,0.018694,307.72857
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,10,0.018573,306.86446
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,11,0.018593,306.20436
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,12,0.018482,305.96657
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,13,0.018497,305.59362
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,14,0.018369,305.78512
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,15,0.018331,305.29306
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,16,0.0183,305.18696
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,17,0.018299,305.21334
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,18,0.018242,305.11213
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,19,0.018291,305.08371
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,20,0.018299,305.07416
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,21,0.018337,305.07895
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,22,0.018318,305.10343
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,23,0.01829,305.08608
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,24,0.018338,305.07419
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,25,0.018329,305.06829
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,26,0.018193,305.06386
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,27,0.01826,305.06084
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,28,0.018241,305.05816
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,29,0.018342,305.06067
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,30,0.018237,305.05818
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,31,0.018262,305.05737
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,32,0.018311,305.05735
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,33,0.018277,305.05614
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,34,0.01827,305.05597
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,35,0.018233,305.05601
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,36,0.018342,305.05595
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,37,0.01832,305.05591
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,38,0.018206,305.05592
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,39,0.018341,305.0559
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,40,0.018372,305.0559
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,41,0.018259,305.0559
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,42,0.018307,305.0559
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,43,0.018332,305.0559
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,44,0.01824,305.0559
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,45,0.018269,305.0559
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,46,0.018365,305.0559
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,47,0.018233,305.0559
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,48,0.018203,305.0559
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,49,0.018314,305.0559
dataset/Stock_3.csv,Adam,StepLR:1,0.99,0.001,50,0.01824,305.0559
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,1,0.034173,396.80032
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,2,0.031447,453.27831
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,3,0.031046,439.38361
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,4,0.030797,427.58739
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,5,0.030604,434.87671
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,6,0.030485,423.93954
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,7,0.030393,420.81382
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,8,0.030334,424.24238
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,9,0.030293,422.36407
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,10,0.030261,421.07632
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,11,0.03024,420.14541
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,12,0.030226,420.26173
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,13,0.030219,420.04465
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,14,0.030208,420.31023
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,15,0.030213,419.95944
