filename,Use_EWC,optimizer,scheduler,learned_percent,learning_rate,times,average_train_loss,mean_absolute_error,,,filename,optimizer_T_Test,EWC_T_Test
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,1,1.424903,125.82464,,,Stock_1.csv,4.57E-18,-0.006985192
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,2,0.29104,70.7005,,,Stock_2.csv,0.000101169,1.03415E-49
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,3,0.047407,79.27271,,,Stock_3.csv,1.53E-36,6.19438E-60
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,4,0.034577,72.42322,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,5,0.02963,67.46206,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,6,0.026713,64.95466,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,7,0.0249,61.2496,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,8,0.023667,59.58916,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,9,0.022856,57.65025,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,10,0.022293,57.07264,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,11,0.021906,56.38806,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,12,0.021623,56.24078,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,13,0.021434,56.13893,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,14,0.021291,55.69762,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,15,0.02119,55.54741,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,16,0.021116,55.40381,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,17,0.021068,55.32591,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,18,0.021029,55.29007,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,19,0.021003,55.29613,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,20,0.020984,55.26622,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,21,0.020971,55.23732,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,22,0.020961,55.22903,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,23,0.020954,55.22788,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,24,0.020949,55.22026,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,25,0.020946,55.21538,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,26,0.020943,55.21316,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,27,0.020941,55.21329,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,28,0.02094,55.21075,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,29,0.020939,55.20929,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,30,0.020939,55.21003,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,31,0.020938,55.20933,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,32,0.020938,55.20848,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,33,0.020938,55.20769,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,34,0.020938,55.20767,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,35,0.020937,55.20741,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,36,0.020937,55.20733,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,37,0.020937,55.20727,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,38,0.020937,55.20725,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,39,0.020937,55.20722,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,40,0.020937,55.20721,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,41,0.020937,55.2072,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,42,0.020937,55.20721,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,43,0.020937,55.2072,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,44,0.020937,55.2072,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,45,0.020937,55.2072,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,46,0.020937,55.2072,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,47,0.020937,55.2072,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,48,0.020937,55.2072,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,49,0.020937,55.2072,,,,,
dataset/Stock_1.csv,No,Adam,StepLR:1,0.99,0.001,50,0.020937,55.2072,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,1,3.648711,638.0551,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,2,2.36389,488.97588,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,3,1.366442,357.25499,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,4,0.724052,253.12389,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,5,0.388862,184.51247,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,6,0.227186,143.9573,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,7,0.149334,116.43827,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,8,0.108662,100.22358,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,9,0.08647,88.46937,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,10,0.073327,81.19524,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,11,0.065284,75.9895,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,12,0.060111,72.27412,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,13,0.0566,70.00952,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,14,0.054242,68.18537,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,15,0.052621,66.93706,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,16,0.05149,66.08711,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,17,0.050691,65.40611,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,18,0.050126,64.94106,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,19,0.049721,64.62564,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,20,0.049437,64.37661,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,21,0.049231,64.20745,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,22,0.049084,64.09608,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,23,0.048981,64.00641,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,24,0.048907,63.94449,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,25,0.048853,63.90045,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,26,0.048815,63.86916,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,27,0.048788,63.84639,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,28,0.048769,63.8299,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,29,0.048755,63.8179,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,30,0.048745,63.81045,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,31,0.048738,63.80465,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,32,0.048733,63.79934,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,33,0.04873,63.79771,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,34,0.048729,63.79691,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,35,0.048728,63.79635,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,36,0.048727,63.79612,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,37,0.048727,63.79602,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,38,0.048727,63.79594,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,39,0.048727,63.79592,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,40,0.048727,63.79589,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,41,0.048727,63.7959,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,42,0.048727,63.7959,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,43,0.048727,63.7959,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,44,0.048727,63.7959,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,45,0.048727,63.7959,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,46,0.048727,63.7959,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,47,0.048727,63.7959,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,48,0.048727,63.7959,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,49,0.048727,63.7959,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,50,0.048727,63.7959,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,1,1.192705,263.55357,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,2,0.791743,214.03479,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,3,0.505046,161.10319,,,,,
